id,foreignId,high,low,Volume,last,unixTimestamp,bid,ask,openBuys,openSells,prevDay
23,112,1.66699,1.472,9544.57970885,1.522,1562719813,1.51899,1.53799,146,124,1.51
24,179,1.00098,0.996,28597.62417696,0.99701,1562719813,0.999,1.00097,46,37,1
25,238,0.01799,0.01533,237952.18729116,0.0167,1562719813,0.01651,0.01767,53,288,0.01734
26,1,12882.439,12113.347,1546.70552687,12849.997,1562719813,12840,12841.274,3874,1551,12273.99
27,2,124.238,118,4274.2829344,119.579,1562719813,119.451,119.829,481,869,122.5
28,178,0.035,0.03364,6261627.48229469,0.03445,1562719813,0.0344,0.03452,232,308,0.0342
29,226,1,0.99,1134.75805384,1,1562719813,0.99,0.99993,46,27,0.996
30,160,428,410.112,614.82052981,420.777,1562719813,418.075,419.56,188,225,416.443
31,106,106.965,98.552,552.39928588,99.594,1562719813,100.587,101.465,157,222,105.733
32,94,8.128,7.76701,7224.56746922,7.915,1562719813,7.87128,7.947,147,342,7.99953
33,38,0.01355,0.0124,1563359.85408202,0.01331,1562719813,0.0133,0.01331,135,429,0.01297
34,162,0.08079,0.07717,1861315.11792904,0.07777,1562719813,0.07797,0.07844,248,712,0.08
35,140,0.302,0.29,147485.26697668,0.299,1562719813,0.298,0.299,85,261,0.298
36,48,0.40662,0.39004,587393.00366465,0.39673,1562719813,0.39673,0.39699,441,1555,0.404
37,138,9.987,9.0612,3037.98378027,9.0612,1562719813,9.22501,9.34699,94,207,9.537
38,139,0.00344,0.00311,9905731.16553996,0.00331,1562719813,0.00321,0.00349,150,252,0.00312
39,71,1.00857,0.99916,330571.81176088,1.002,1562719813,1.002,1.00356,264,177,1.00499
40,221,214,200.69,823.45152144,206.191,1562719813,205.674,206.837,212,193,200.69
41,208,0.01661,0.0165,23534.38535536,0.01661,1562719813,0.01613,0.01799,32,75,0.0165
42,215,1.005,0.998,24062.07138084,0.998,1562719813,0.99801,1.00609,65,23,0.999
43,67,318.021,303.307,3929.73347757,312.26,1562719813,312.259,312.317,974,760,311.582
44,175,0.29453,0.287,11517.40493608,0.29225,1562719813,0.28923,0.29182,46,79,0.293
