id,foreignId,high,low,Volume,last,unixTimestamp,bid,ask,openBuys,openSells,prevDay
76,48,0.00129875,0.00126597,495628.58611711,0.00126874,1562719810,0.00126709,0.00126961,200,1123,0.00129875
77,171,0.00005826,0.00005455,7786.68965993,0.00005624,1562719810,0.00005624,0.00005858,43,172,0.00005826
78,159,0.01591413,0.01531407,1808.79220949,0.01550941,1562719810,0.0154,0.01547502,242,244,0.01583811
79,225,0.00114095,0.00101852,129960.85013292,0.00103587,1562719810,0.00103491,0.00104318,66,118,0.00101852
80,25,0.331,0.32085093,159.12174745,0.32223511,1562719810,0.32103904,0.32223511,172,362,0.32631679
81,266,0.016986,0.016,2424.33178095,0.01621428,1562719810,0.01563247,0.01630358,20,84,0.016343
82,140,0.00096886,0.0009294,104487.20972066,0.00095762,1562719810,0.00095458,0.00095759,135,452,0.00095634
83,90,0.00613,0.00581073,12429.07154331,0.00590651,1562719810,0.00586,0.00594431,108,418,0.00603907
84,105,0.057,0.0554,1709.09918094,0.0557,1562719810,0.0556,0.05572208,544,607,0.05596978
85,9,0.51469952,0.49993916,172.02010386,0.50399426,1562719810,0.50181803,0.50487147,106,507,0.51469952
86,38,0.00004396,0.00003953,1737748.66810462,0.00004286,1562719810,0.00004275,0.00004298,152,448,0.00004089
87,160,1.35852741,1.3341774,213.0454115,1.34,1562719810,1.34,1.34301294,269,409,1.34061457
88,94,0.02581801,0.025,4081.05966781,0.02536447,1562719810,0.02532802,0.02555419,138,595,0.02548096
89,162,0.00025699,0.00024972,2060858.07425782,0.00024996,1562719810,0.00024937,0.00024996,296,1135,0.00025639
90,126,0.00030001,0.00028813,113281.03202916,0.00029523,1562719810,0.00028849,0.00029125,77,397,0.00030001
91,190,0.00000722,0.00000695,112426.75422935,0.00000712,1562719810,0.0000071,0.00000722,31,196,0.00000697
92,221,0.67709244,0.649,139.66181395,0.66653092,1562719810,0.65860462,0.66346856,126,186,0.658
93,106,0.33842722,0.32210511,268.18305761,0.32496372,1562719810,0.32326826,0.32452086,200,386,0.3380194
94,137,0.0026,0.00233,5102.46401882,0.0026,1562719810,0.00252007,0.00265001,92,114,0.0024
95,173,0.00007298,0.00006989,3084.13646832,0.00007298,1562719810,0.00006992,0.00007885,18,241,0.0000726
96,156,0.00812266,0.00785796,7865.70537342,0.00794467,1562719810,0.0079,0.00796417,89,258,0.00812266
